State,EST_ST,WEEK,count,anxiety_percentage,depression_percentage
Indiana,18,11,1680,14.647619047619047,12.4375
Indiana,18,12,1489,16.526527871054398,14.0329079919409
Indiana,18,13,2051,11.998049731838128,10.187713310580206
Indiana,18,14,1941,12.678001030396702,10.765069551777435
Indiana,18,15,1921,12.809994794377928,10.877147319104633
Indiana,18,16,1814,13.565600882028665,11.518743109151048
Indiana,18,17,1798,13.686318131256952,11.621245828698553
Indiana,18,18,1139,21.604916593503074,18.34503950834065
Indiana,18,19,1360,18.094117647058823,15.363970588235293
Indiana,18,20,1342,18.336810730253355,15.570044709388972
Indiana,18,21,1332,18.474474474474473,15.686936936936936
Indiana,18,22,1280,19.225,16.32421875
Indiana,18,23,1548,15.896640826873385,13.498062015503876
Indiana,18,24,1481,16.61580013504389,14.108710330857528
Indiana,18,25,1412,17.427762039660056,14.798158640226628
Indiana,18,26,1513,16.264375413086583,13.810310641110377
Indiana,18,27,1546,15.917205692108668,13.515523932729625
Indiana,18,28,1376,17.88372093023256,15.185319767441861
Indiana,18,29,1548,15.896640826873385,13.498062015503876
Indiana,18,30,1232,19.974025974025974,16.960227272727273
Indiana,18,31,1373,17.922796795338673,15.21849963583394
Indiana,18,32,1218,20.203612479474547,17.155172413793103
Indiana,18,33,1157,21.268798617113223,18.05963699222126
Indiana,18,34,1125,21.87377777777778,18.573333333333334
Indiana,18,35,1207,20.387738193869097,17.311516155758078
Indiana,18,36,1247,19.73376102646351,16.756214915797916
Indiana,18,37,1180,20.854237288135593,17.70762711864407
Indiana,18,38,1107,22.22944896115628,18.875338753387535
Indiana,18,39,1031,23.868089233753636,20.266731328806983
Iowa,19,1,1147,16.925893635571054,13.933740191804707
Iowa,19,2,634,30.621451104100945,25.20820189274448
Iowa,19,3,1980,9.805050505050506,8.071717171717172
Iowa,19,4,1583,12.264055590650663,10.09602021478206
Iowa,19,5,1638,11.852258852258853,9.757020757020758
Iowa,19,6,1338,14.509715994020926,11.944693572496263
Iowa,19,7,1309,14.831168831168831,12.209320091673034
Iowa,19,8,1651,11.75893397940642,9.680193821926105
Iowa,19,9,1608,12.073383084577115,9.939054726368159
Iowa,19,10,1421,13.662209711470796,11.247009148486981
Iowa,19,11,1491,13.020791415157612,10.718980549966465
Iowa,19,12,1347,14.412769116555308,11.864884929472902
Iowa,19,13,1678,11.569725864123956,9.524433849821216
Iowa,19,14,1651,11.75893397940642,9.680193821926105
Iowa,19,15,1421,13.662209711470796,11.247009148486981
Iowa,19,16,1407,13.798152096659559,11.358919687277897
Iowa,19,17,1398,13.886981402002862,11.432045779685264
Iowa,19,18,993,19.550855991943607,16.094662638469284
Iowa,19,19,1209,16.057899090157154,13.2191894127378
Iowa,19,20,1206,16.097844112769486,13.252072968490879
Iowa,19,21,1062,18.28060263653484,15.048964218455744
Iowa,19,22,992,19.570564516129032,16.110887096774192
Iowa,19,23,1133,17.135039717563988,14.105913503971756
Iowa,19,24,1232,15.758116883116884,12.972402597402597
Iowa,19,25,1166,16.650085763293312,13.706689536878216
Iowa,19,26,1129,17.195748449955712,14.155890168290522
Iowa,19,27,1164,16.6786941580756,13.730240549828178
Iowa,19,28,833,23.306122448979593,19.18607442977191
Iowa,19,29,1096,17.713503649635037,14.582116788321168
Iowa,19,30,886,21.91196388261851,18.03837471783296
Iowa,19,31,1032,18.81201550387597,15.486434108527131
Iowa,19,32,1012,19.18379446640316,15.792490118577074
Iowa,19,33,970,20.01443298969072,16.476288659793813
Iowa,19,34,924,21.01082251082251,17.296536796536795
Iowa,19,35,1080,17.975925925925925,14.798148148148147
Iowa,19,36,995,19.511557788944724,16.062311557788945
Iowa,19,37,941,20.631243358129648,16.984059511158343
Iowa,19,38,899,21.595105672969968,17.777530589543936
Iowa,19,39,828,23.446859903381643,19.301932367149757
Kansas,20,1,1045,21.07751196172249,17.50334928229665
Kansas,20,2,630,34.96190476190476,29.033333333333335
Kansas,20,3,2289,9.62254259501966,7.990825688073395
Kansas,20,4,1680,13.110714285714286,10.8875
Kansas,20,5,1689,13.040852575488454,10.829484902309058
Kansas,20,6,1355,16.255350553505536,13.498892988929889
Kansas,20,7,1170,18.825641025641026,15.633333333333333
Kansas,20,8,1841,11.964149918522542,9.935361216730039
