Region,Week,Anxiety Percentage,Depression Percentage,Covid Cases Percentage,Covid Deaths Percentage
Vermont,7,18.906084656084655,15.261904761904765,0.120793354842351,0.482103725346969
Vermont,8,13.149034038638456,10.614535418583255,0.123857538743559,0.490869247626004
Vermont,9,12.67109929078014,10.22872340425532,0.129143703953245,0.490869247626004
Vermont,10,15.319399785637728,12.366559485530546,0.133587666570202,0.490869247626004
Vermont,11,16.242045454545455,13.111363636363636,0.138587124514278,0.490869247626004
Vermont,12,14.644467213114757,11.82172131147541,0.144661734704391,0.490869247626004
Vermont,13,12.300344234079176,9.929432013769365,0.366555239082501,1.10153396639883
Vermont,14,11.498793242156074,9.28238133547868,0.386302202001396,1.10153396639883
Vermont,15,12.59295154185022,10.165638766519823,0.401049706976215,1.10153396639883
Vermont,16,13.197599261311172,10.653739612188366,0.422678186325676,1.10153396639883
Vermont,17,14.52540650406504,11.725609756097562,0.459537989160673,1.10153396639883
Vermont,18,22.75955414012739,18.372611464968152,0.524978922536177,1.10591672753835
Vermont,19,16.3162100456621,13.17123287671233,0.7273763328528,1.14682249817385
Vermont,20,16.40987370838117,13.246842709529275,1.02243394757378,1.36596055514974
Vermont,21,16.85495283018868,13.6061320754717,1.38191110103654,1.90065741417093
Vermont,22,20.44778254649499,16.506437768240342,2.15261606940466,3.01095690284879
Vermont,23,15.828349944629014,12.777408637873757,2.62767208931648,3.24616508400292
Vermont,24,17.888610763454317,14.440550688360451,3.04889882011001,3.51643535427319
Vermont,25,18.254150702426564,14.735632183908049,3.41715638358207,3.78086194302411
Vermont,26,16.716959064327487,13.494736842105263,3.79166774928525,3.99123447772096
Vermont,27,17.11736526946108,13.817964071856288,4.19307584034348,4.19430241051863
Vermont,28,18.023959646910463,14.549810844892813,5.15562380781295,4.59897735573411
Vermont,29,18.757217847769027,15.141732283464568,5.40109898478749,4.70562454346238
Vermont,30,22.26323987538941,17.97196261682243,5.57556035591123,4.81519357195033
Vermont,31,22.40282131661442,18.0846394984326,5.64270361367629,4.84879474068663
Vermont,32,24.14358108108108,19.489864864864863,5.66958241982724,4.86194302410519
Vermont,33,22.979099678456592,18.54983922829582,5.68479582410868,4.87509130752374
Vermont,34,25.43238434163701,20.530249110320284,5.77233113614026,4.92476260043828
Vermont,35,22.6513470681458,18.28526148969889,5.97322333331243,4.97881665449233
Vermont,36,21.525602409638555,17.376506024096386,6.35217866163257,5.15558802045289
Vermont,37,25.893115942028984,20.902173913043477,6.82798728811661,5.36742147552958
Vermont,38,26.034608378870676,21.016393442622952,7.4443720707701,5.71073776479182
Vermont,39,27.224761904761905,21.97714285714286,8.06278172348697,6.18261504747991
Virginia,1,16.64913203577065,13.726459758022092,0.111579442841477,0.238761545580781
Virginia,2,30.87804878048781,25.457560975609756,0.0793900773854163,0.171358645950639
Virginia,3,10.180122225796076,8.39305242843358,0.100504655861794,0.206056366963097
Virginia,4,14.35374149659864,11.834013605442175,0.121913190938632,0.240788442154777
Virginia,5,14.135774899508707,11.654309959803484,0.147419235130626,0.283078436774912
Virginia,6,18.42258440046566,15.18859138533178,0.167351280970933,0.302419839675916
Virginia,7,20.645792563600786,17.021526418786692,0.18131980802130299,0.318222762117234
Virginia,8,13.030053519967066,10.742692466035406,0.193322290736278,0.332239267239099
Virginia,9,15.209034118212395,12.53916386352715,0.205923304856371,0.355016088062129
Virginia,10,16.53605015673981,13.633228840125392,0.218973636669944,0.381228326807184
Virginia,11,16.36504653567735,13.49224405377456,0.235531887839194,0.404279981063976
Virginia,12,17.681564245810055,14.577653631284916,0.257861971269945,0.417437631705335
Virginia,13,11.475707034082667,9.46120377084844,0.833720716159424,1.11503359495186
Virginia,14,11.640308937109232,9.596910628907686,0.934624951810817,1.20188096002067
Virginia,15,12.850182704019488,10.594397076735689,1.03080129232934,1.3622119144416
Virginia,16,13.778841967784066,11.36003482803657,1.11611688651072,1.47187045451266
Virginia,17,14.727780362959516,12.142391810144254,1.22098785970976,1.55590077688541
Virginia,18,21.385135135135137,17.63108108108108,1.3438108630924,1.63865999462701
Virginia,19,19.123867069486405,15.766767371601208,1.50634147935693,1.71805250280502
Virginia,20,18.738898756660745,15.449378330373,1.75064009189463,1.83358560752274
