state,EST_ST,week,count,anxiety_percentage,depression_percentage
minnesota,27,14,2433,11.03370324702014,8.849157418824497
minnesota,27,15,2299,11.676816006959548,9.364941278816875
minnesota,27,16,2099,12.789423535016674,10.257265364459268
minnesota,27,17,1985,13.523929471032746,10.846347607052897
minnesota,27,18,1334,20.12368815592204,16.13943028485757
minnesota,27,19,1800,14.91388888888889,11.96111111111111
minnesota,27,20,1722,15.589430894308943,12.502903600464576
minnesota,27,21,1594,16.841279799247175,13.5069008782936
minnesota,27,22,1461,18.37440109514031,14.736481861738536
minnesota,27,23,1642,16.3489646772229,13.112058465286236
minnesota,27,24,1612,16.653225806451612,13.3560794044665
minnesota,27,25,1662,16.15222623345367,12.95427196149218
minnesota,27,26,1724,15.571345707656612,12.488399071925754
minnesota,27,27,1620,16.570987654320987,13.290123456790123
minnesota,27,28,1602,16.757178526841447,13.439450686641695
minnesota,27,29,1740,15.42816091954023,12.373563218390805
minnesota,27,30,1317,20.383447228549738,16.347760060744115
minnesota,27,31,1543,17.397926117952043,13.953337653920933
minnesota,27,32,1397,19.216177523264136,15.41159627773801
minnesota,27,33,1405,19.106761565836297,15.323843416370106
