"","state","week","total_cases","total_deaths","total_cases_us","total_deaths_us","total_cases_state_all_weeks","total_deaths_state_all_weeks","percentage_cases_spatial","percentage_deaths_spatial","percentage_cases_bar","percentage_deaths_bar"
"1175","New Hampshire",3,21371,1007,8896630,534045,23494983,377580,0.240214553151025,0.188560889063656,0.0909598444910558,0.266698448011018
"1176","New Hampshire",4,24615,1244,9837494,582599,23494983,377580,0.250216162774788,0.213525941513803,0.104767047501162,0.329466603103978
"1177","New Hampshire",5,27511,1458,10727153,623896,23494983,377580,0.2564613369456,0.233692794953005,0.117093083233982,0.386143333863022
"1178","New Hampshire",6,30102,1700,11646234,661268,23494983,377580,0.258469819514188,0.257081848811677,0.128120969485273,0.450235711637269
"1179","New Hampshire",7,31786,1907,12570310,693159,23494983,377580,0.252865681116854,0.275117253040067,0.13528845711444,0.505058530642513
"1180","New Hampshire",8,33127,2028,13688447,718836,23494983,377580,0.242007000501956,0.282122765136971,0.140996058605363,0.537104719529636
"1181","New Hampshire",9,34315,2194,15271347,754416,23494983,377580,0.224701855049198,0.290820979406587,0.146052457241616,0.581068912548334
"1182","New Hampshire",10,35293,2278,17321941,779487,23494983,377580,0.203747374500352,0.29224348834554,0.150215048038128,0.60331585359394
"1183","New Hampshire",11,36201,2342,19735326,808303,23494983,377580,0.183432490550194,0.28974283158667,0.154079702888059,0.620265903914402
"1184","New Hampshire",12,37206,2382,22513159,840740,23494983,377580,0.165263346649842,0.283321835525846,0.158357211835395,0.630859685364691
"1185","New Hampshire",13,92984,5588,75392468,2322210,23494983,377580,0.123333275148918,0.240632845436029,0.39576108652643,1.47995126860533
"1186","New Hampshire",14,97637,5635,82613109,2473036,23494983,377580,0.118185843847131,0.227857580722642,0.415565314518423,1.49239896180942
"1187","New Hampshire",15,103901,5697,89958441,2613757,23494983,377580,0.115498889092576,0.217962113540012,0.442226325509578,1.50881932305737
"1188","New Hampshire",16,113861,5810,98283032,2744562,23494983,377580,0.115850109304727,0.211691337269845,0.484618354480188,1.53874675565443
"1189","New Hampshire",17,128168,6086,108710383,2877454,23494983,377580,0.117898581959738,0.211506421996668,0.545512205733454,1.61184384766142
"1190","New Hampshire",18,150170,6299,123742353,3032206,23494983,377580,0.121356994076232,0.207736545604092,0.639157729971543,1.66825573388421
"1191","New Hampshire",19,201605,6534,149140694,3242863,23494983,377580,0.135177726878487,0.201488622861959,0.858076807291157,1.73049419990466
"1192","New Hampshire",20,283779,6970,180323778,3537929,23494983,377580,0.15737192462771,0.197007910560105,1.20782807120993,1.8459664177128
"1193","New Hampshire",21,423141,8009,218484424,3967089,23494983,377580,0.193671014277887,0.201886068096783,1.80098449102943,2.12113989088405
"1194","New Hampshire",22,691253,11450,297414902,4959558,23494983,377580,0.232420431979565,0.23086734745314,2.94213024116681,3.03246994014513
"1195","New Hampshire",23,820309,13057,331246599,5536919,23494983,377580,0.247642995422875,0.235817067217346,3.49142197719403,3.45807510991048
"1196","New Hampshire",24,896528,14426,353902473,6107034,23494983,377580,0.253326288567642,0.236219415185833,3.8158274045144,3.82064728004661
"1197","New Hampshire",25,961190,15063,367750323,6540703,23494983,377580,0.261370266695864,0.230296345820931,4.09104360705432,3.98935324964246
"1198","New Hampshire",26,1005506,15435,379269903,6856950,23494983,377580,0.265116211976356,0.225100080939776,4.27966259860669,4.08787541713015
"1199","New Hampshire",27,1056852,15888,389709216,7073156,23494983,377580,0.271189891490788,0.22462391611326,4.49820287165136,4.20784999205466
"1200","New Hampshire",28,1197954,16548,413555826,7388536,23494983,377580,0.28967165366448,0.223968591342047,5.0987651278573,4.38264738598443
"1201","New Hampshire",29,1244005,16995,422815728,7515404,23494983,377580,0.294219187607893,0.226135547736356,5.29476867465705,4.5010328936914
"1202","New Hampshire",30,1271877,17366,429112805,7628850,23494983,377580,0.296396887993123,0.227635882210294,5.41339825612983,4.59929021664283
"1203","New Hampshire",31,1283854,17586,432772697,7733730,23494983,377580,0.296657808798876,0.227393508695028,5.46437509658977,4.65755601461942
"1204","New Hampshire",32,1289073,17722,434955807,7800559,23494983,377580,0.296368729708671,0.227188846337807,5.48658834952126,4.6935748715504
"1205","New Hampshire",33,1293154,17825,437380590,7853097,23494983,377580,0.29565875339827,0.226980514821095,5.50395801520691,4.72085385878489
"1206","New Hampshire",34,1305294,18016,451183101,7948347,23494983,377580,0.289304718440685,0.226663481098649,5.5556286207996,4.77143916521002
